date,steps,distance,runDistance,calories
2024-01-01,1028,801,0,28
2024-01-02,3309,2576,111,97
2024-01-03,3602,2707,80,98
2024-01-04,2553,1931,149,74
2024-01-05,5431,4267,85,160
2024-01-06,1703,1309,25,48
2024-01-07,910,684,28,25
2024-01-08,790,606,0,21
2024-01-09,782,569,16,22
2024-01-10,1268,973,31,38
2024-01-11,1586,1178,78,44
2024-01-12,0,0,0,0
2024-01-13,1565,1141,76,39
2024-01-14,1461,1121,69,41
2024-01-15,0,0,0,0
2024-01-16,972,713,27,24
2024-01-17,16598,12505,356,470
2024-01-18,10006,7405,341,278
2024-01-19,12980,9543,471,333
2024-01-20,1037,802,63,29
2024-01-21,1295,974,60,37
2024-01-22,4912,3892,152,150
2024-01-23,3429,2555,251,99
2024-01-24,1707,1208,137,46
2024-01-25,0,0,0,0
2024-01-26,2328,1638,97,58
2024-01-27,1833,1289,214,51
2024-01-28,0,0,0,0
2024-01-29,0,0,0,0
2024-01-30,0,0,0,0
2024-01-31,0,0,0,0
2024-02-01,5211,4177,1081,181
2024-02-02,698,491,75,17
2024-02-03,0,0,0,0
2024-02-04,0,0,0,0
2024-02-05,859,604,49,21
2024-02-06,0,0,0,0
2024-02-07,1058,744,81,28
2024-02-08,0,0,0,0
2024-02-09,0,0,0,0
2024-02-10,2016,1441,137,57
2024-02-11,0,0,0,0
2024-02-12,2218,1559,149,59
2024-02-13,366,257,19,8
2024-02-14,0,0,0,0
2024-02-15,0,0,0,0
2024-02-16,0,0,0,0
2024-02-17,1246,876,129,37
2024-02-18,1828,1331,47,47
2024-02-19,5471,4045,191,154
2024-02-20,4097,3113,80,120
2024-02-21,1411,1103,19,42
2024-02-22,4224,3245,69,125
2024-02-23,1943,1517,88,58
2024-02-24,0,0,0,0
2024-02-26,0,0,0,0
2024-02-27,0,0,0,0
2024-02-28,0,0,0,0
2024-02-29,8964,6746,307,252
2024-03-01,4695,3474,293,125
2024-03-02,20930,15621,399,593
2024-03-03,959,739,37,27
2024-03-04,4458,3410,183,123
2024-03-05,4534,3464,80,126
2024-03-06,2998,2255,47,83
2024-03-07,7430,5697,159,211
2024-03-08,8683,6690,265,252
2024-03-09,536,377,41,13
2024-03-10,2502,1865,77,73
2024-03-11,3523,2778,44,104
2024-03-12,3517,2654,74,96
2024-03-13,4552,3554,133,133
2024-03-14,5999,4437,180,163
2024-03-15,4346,3375,156,130
2024-03-16,935,704,3,25
2024-03-17,802,626,43,22
2024-03-18,3062,2383,202,91
2024-03-19,2041,1497,42,53
2024-03-20,2436,1951,51,72
2024-03-21,0,0,0,0
2024-06-25,0,0,0,0
2024-06-26,0,0,0,0
2024-06-27,0,0,0,0
2024-06-28,0,0,0,0
2024-06-29,0,0,0,0
2024-06-30,215,151,34,5
2024-07-01,222,168,50,6
2024-07-02,0,0,0,0
2024-07-03,0,0,0,0
2024-07-04,0,0,0,0
2024-07-05,282,212,54,7
2024-07-06,0,0,0,0
2024-07-07,12400,9075,259,341
2024-07-08,13146,9678,463,359
2024-07-09,15483,11335,382,424
2024-07-10,13730,9950,399,370
2024-07-11,20055,14552,594,533
2024-07-12,5205,3728,223,131
2024-08-13,0,0,0,0
2024-08-14,0,0,0,0
2024-08-15,930,657,86,24
2024-09-21,6892,5029,130,187
2024-09-22,4833,3539,110,127
2024-09-23,3377,2598,59,101
2024-09-24,2329,1807,39,67
2024-09-25,5419,4064,149,161
2024-09-26,3867,2960,68,106
2024-09-27,3452,2695,140,100
2024-09-28,0,0,0,0
2024-09-29,0,0,0,0
2024-09-30,2700,2057,107,76
2024-10-01,6737,5155,235,200
2024-10-02,10241,7631,147,296
2024-10-03,3580,2769,140,100
2024-10-04,6462,4957,122,186
2024-10-05,3118,2282,62,79
2024-10-08,4110,3061,166,115
2024-10-09,0,0,0,0
2024-10-10,5846,4488,166,173
2024-10-11,0,0,0,0
2024-10-12,0,0,0,0
2024-10-13,0,0,0,0
2024-10-14,0,0,0,0
2024-10-15,0,0,0,0
2024-10-16,0,0,0,0
2024-10-17,0,0,0,0
2024-10-18,0,0,0,0
2024-10-19,0,0,0,0
2024-10-20,0,0,0,0
2024-10-21,2171,1697,44,65
2024-10-22,4431,3357,196,133
2024-10-23,9568,7454,286,282
2024-10-24,7155,5521,181,213
2024-10-25,4114,3108,93,118
2024-10-26,9912,7806,188,302
2024-10-27,0,0,0,0
2024-10-28,202,147,35,7
2024-10-29,0,0,0,0
2024-10-30,2586,2207,1717,122
2024-10-31,5476,4147,155,156
2024-11-01,11193,8807,111,346
2024-11-02,0,0,0,0
2024-11-03,2030,1458,78,54
2024-11-04,9456,7577,309,294
2024-11-05,10500,8086,424,307
2024-11-06,14633,11193,390,428
2024-11-07,6867,5263,183,201
2024-11-08,6698,5305,319,203
